identity,label_index,support,precision,recall,f1-score,underrepresented,not_predicted
SeaTurtleID2022_t068,724,6.0,0.8571428571428571,1.0,0.9230769230769231,False,False
SeaTurtleID2022_t069,725,3.0,1.0,1.0,1.0,True,False
SeaTurtleID2022_t070,726,4.0,1.0,1.0,1.0,True,False
SeaTurtleID2022_t071,727,1.0,1.0,1.0,1.0,True,False
SeaTurtleID2022_t073,728,9.0,1.0,1.0,1.0,False,False
SeaTurtleID2022_t074,729,3.0,1.0,0.3333333333333333,0.5,True,False
SeaTurtleID2022_t075,730,6.0,0.8571428571428571,1.0,0.9230769230769231,False,False
SeaTurtleID2022_t076,731,6.0,1.0,1.0,1.0,False,False
SeaTurtleID2022_t077,732,3.0,1.0,0.6666666666666666,0.8,True,False
SeaTurtleID2022_t078,733,3.0,0.6,1.0,0.75,True,False
SeaTurtleID2022_t079,734,3.0,0.75,1.0,0.8571428571428571,True,False
SeaTurtleID2022_t080,735,3.0,1.0,1.0,1.0,True,False
SeaTurtleID2022_t081,736,1.0,1.0,1.0,1.0,True,False
SeaTurtleID2022_t082,737,4.0,1.0,0.75,0.8571428571428571,True,False
SeaTurtleID2022_t083,738,1.0,1.0,1.0,1.0,True,False
SeaTurtleID2022_t084,739,4.0,1.0,0.75,0.8571428571428571,True,False
SeaTurtleID2022_t085,740,4.0,0.0,0.0,0.0,True,True
SeaTurtleID2022_t086,741,3.0,1.0,1.0,1.0,True,False
SeaTurtleID2022_t090,745,4.0,1.0,1.0,1.0,True,False
SeaTurtleID2022_t092,747,7.0,1.0,0.7142857142857143,0.8333333333333334,False,False
SeaTurtleID2022_t093,748,3.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,True,False
SeaTurtleID2022_t094,749,10.0,1.0,1.0,1.0,False,False
SeaTurtleID2022_t095,750,9.0,1.0,0.8888888888888888,0.9411764705882353,False,False
SeaTurtleID2022_t096,751,2.0,1.0,0.5,0.6666666666666666,True,False
SeaTurtleID2022_t097,752,2.0,1.0,1.0,1.0,True,False
SeaTurtleID2022_t099,753,12.0,1.0,1.0,1.0,False,False
SeaTurtleID2022_t101,754,3.0,1.0,1.0,1.0,True,False
SeaTurtleID2022_t102,755,10.0,1.0,1.0,1.0,False,False
SeaTurtleID2022_t104,757,4.0,1.0,1.0,1.0,True,False
SeaTurtleID2022_t105,758,3.0,1.0,1.0,1.0,True,False
SeaTurtleID2022_t106,759,1.0,0.0,0.0,0.0,True,True
SeaTurtleID2022_t107,760,1.0,1.0,1.0,1.0,True,False
SeaTurtleID2022_t108,761,3.0,1.0,1.0,1.0,True,False
SeaTurtleID2022_t110,762,14.0,1.0,0.7857142857142857,0.88,False,False
SeaTurtleID2022_t112,763,1.0,0.0,0.0,0.0,True,True
SeaTurtleID2022_t113,764,1.0,1.0,1.0,1.0,True,False
SeaTurtleID2022_t114,765,2.0,1.0,1.0,1.0,True,False
SeaTurtleID2022_t115,766,5.0,0.8333333333333334,1.0,0.9090909090909091,False,False
SeaTurtleID2022_t116,767,1.0,1.0,1.0,1.0,True,False
SeaTurtleID2022_t118,768,1.0,1.0,1.0,1.0,True,False
SeaTurtleID2022_t119,769,3.0,1.0,1.0,1.0,True,False
SeaTurtleID2022_t121,771,4.0,1.0,1.0,1.0,True,False
SeaTurtleID2022_t123,772,1.0,1.0,1.0,1.0,True,False
SeaTurtleID2022_t124,773,1.0,1.0,1.0,1.0,True,False
SeaTurtleID2022_t125,774,3.0,1.0,1.0,1.0,True,False
SeaTurtleID2022_t127,775,2.0,1.0,1.0,1.0,True,False
SeaTurtleID2022_t128,776,1.0,1.0,1.0,1.0,True,False
SeaTurtleID2022_t129,777,1.0,0.5,1.0,0.6666666666666666,True,False
SeaTurtleID2022_t130,778,1.0,0.0,0.0,0.0,True,True
SeaTurtleID2022_t131,779,5.0,0.8,0.8,0.8,False,False
SeaTurtleID2022_t132,780,2.0,1.0,0.5,0.6666666666666666,True,False
